Issue ID,Domain,Issue / Failure,Priority,State,Detection Signal,Detection Tool,Likely Cause,Automated Fix,Fallback / Recovery,Mode,Authority Required,Verification,Receipt / Evidence,Frequency,Owner Worker,Dependencies,Known Status,Next Action
ERR-016,Secrets,Credential expired or inaccessible,P0,BLOCKED,401/403/expiry metadata,Secret health worker,Expired/missing secret or role,Rotate or refresh via approved secret manager,Route to alternate credential/provider,HITL,Secret rotation authority,authenticated probe,rotation audit receipt,daily,Credential Worker,Secrets Manager/SSM,Known blocker class,Create expiry inventory
ERR-017,Secrets,Secret committed or exposed,P0,QUARANTINED,Secret scanner match,GitHub secret scanning,Credential in code/log,"Revoke, rotate, purge, open incident",Disable affected worker,HITL,Security incident authority,old secret fails/new succeeds,incident receipt,on commit,Security Worker,GitHub/AWS/provider,Required,Enable scanning and response workflow
ERR-018,GitHub,Actions billing prevents workflows,P0,BLOCKED,workflow cannot start/billing error,GitHub workflow monitor,Billing restriction,Route jobs to self-hosted runner/local execution,Queue until authority restored,HITL,Billing/admin authority,equivalent pipeline passes,runner receipt,per workflow,CI Routing Worker,runner capacity,Known historical blocker,Implement non-Actions execution path
ERR-019,GitHub,Repository has no tests or broken build,P1,PARTIAL,CI absent/fails,Repo audit worker,Technical debt,Generate baseline tests; repair deterministic failures,Create issue with failing evidence,AUTO_WITH_GUARDRAIL,Code write,test suite passes,commit + test receipt,daily,Code Repair Worker,repo permissions,Required,Prioritise runtime kernel repos
ERR-020,GitHub,Code on EC2 differs from canonical repository,P0,ASPIRATIONAL,Commit/hash mismatch,Deployment drift worker,Manual deployment/drift,Redeploy pinned commit,Rollback to last verified commit,AUTO_WITH_GUARDRAIL,Deploy authority,remote hash and health match,deployment receipt,hourly,Deployment Worker,"repo, EC2 access",Unknown current status,Implement hash attestation
ERR-021,AWS,CloudWatch logs unavailable or uncorrelated,P1,PARTIAL,Missing logs/correlation ID,Observability worker,Logging not configured,Install structured logs and trace IDs,Capture systemd/journal fallback,AUTO,Logging config write,synthetic event searchable,log receipt,daily,Observability Worker,CloudWatch permissions,Known gap,Standardise correlation IDs
ERR-022,AWS,Orphaned EBS/EIP or cost leakage,P2,ASPIRATIONAL,Unused resource > threshold,Cost scanner,Abandoned infrastructure,Tag and schedule deletion after hold period,Quarantine for review,AUTO_WITH_GUARDRAIL,Delete authority after grace,resource gone and cost forecast reduced,cost receipt,daily,Cost Optimisation Worker,AWS inventory,Required,Create safe cleanup policy
ERR-023,Supabase,Schema/migration drift,P0,PARTIAL,Expected migration differs from live schema,DB drift worker,Manual SQL/truncated migration,Generate reconciliation migration,Restore from known schema,AUTO_WITH_GUARDRAIL,DDL authority,schema diff zero + tests,migration receipt,daily,Database Repair Worker,Supabase access,Known historical concern,Establish migration ledger
ERR-024,Supabase,RLS disabled or policies incomplete,P0,ASPIRATIONAL,Security audit finding,DB security worker,Tables added without policies,Generate least-privilege policies,Quarantine exposed table,HITL,Security policy approval,policy tests,RLS audit receipt,daily,Database Security Worker,schema ownership,Required,Automate RLS audit
ERR-025,Google Drive,Folder traversal incomplete,P1,PARTIAL,Inventory count stops early,Drive crawler,Pagination/permission limits,Resume from cursor; log inaccessible nodes,Request targeted permission,AUTO,Read access,full traversal reconciliation,crawl receipt,daily,Drive Ingestion Worker,Drive connector,Known gap,Implement resumable crawl
ERR-026,Knowledge,Duplicate/conflicting canonical objects,P1,PARTIAL,Similarity/conflict rules triggered,Reconciliation worker,Multiple sources/no canonical IDs,Merge aliases; preserve occurrences; escalate conflicts,Quarantine disputed truth,AUTO_WITH_GUARDRAIL,Canonical write authority,no unresolved duplicate above threshold,reconciliation receipt,nightly,Knowledge Reconciliation Worker,object registry,Required,Implement duplicate/conflict model
ERR-027,Scratchpad,Working notes lost between workers,P0,ASPIRATIONAL,Handover lacks state/resume token,Scratchpad controller,Chat-local memory only,Persist shared scratchpad per job,Reconstruct from receipts,AUTO,State write,second worker resumes successfully,handover receipt,per handoff,Scratchpad Worker,state store,Required,Create shared scratchpad schema
ERR-028,Scratchpad,Scratch content promoted without validation,P0,ASPIRATIONAL,Unverified object marked canonical,Promotion gate,No validation lifecycle,Require reviewer/evidence threshold before promotion,Demote to scratch/quarantine,AUTO_WITH_GUARDRAIL,Canonical promotion authority,provenance and validation checks pass,promotion receipt,per promotion,Canonical Gatekeeper,evidence registry,Required,Implement promotion gate
ERR-029,LLM Federation,Human must copy/paste between tools or models,P1,PARTIAL,Manual handoff detected,Workflow telemetry,No cross-worker messaging,Create job package and dispatch via API/MCP,Generate export bundle only if blocked,AUTO,Provider invocation authority,downstream worker receives and continues,handover receipt,per task,Task Router,provider connectors,Known requirement,Build inter-worker transport
ERR-030,LLM Federation,Worker repeats prior work instead of continuing,P1,ASPIRATIONAL,Output duplicates completed scope,Handover validator,Missing completion/remaining contract,Inject handover + open tasks + artifacts,Reassign to reviewer,AUTO,Read scratchpad/job graph,only remaining scope completed,continuation receipt,per handoff,Handover Worker,"scratchpad, job graph",Known requirement,Enforce Canonical Handover Contract
ERR-031,LLM Federation,Worker output is unsupported or hallucinated,P0,ASPIRATIONAL,Claims lack evidence or fail validation,Evidence checker,Model uncertainty/source failure,Route claims to research/verifier worker,Quarantine output,AUTO_WITH_GUARDRAIL,External research/tool access,claims validated or removed,verification receipt,per output,Evidence Verification Worker,source access,Required,Build claim-level validation
ERR-032,Worker Registry,Worker capability/cost/reliability data is stale,P1,ASPIRATIONAL,Last verified exceeds TTL,Worker benchmarker,No continuous telemetry,Run benchmark and update scorecard,Reduce routing weight,AUTO,Benchmark budget,benchmark reproducible,benchmark receipt,weekly,Benchmark Worker,test corpus,Required,Implement mutable truth expiry
ERR-033,Scheduler,Wrong worker selected for job,P1,ASPIRATIONAL,High retry/cost/low score,Routing optimiser,Static routing,"Re-rank by capability, context, authority, cost and outcomes",Fail over to next candidate,AUTO,Job routing authority,improved outcome on replay,routing decision receipt,per failure,Scheduler Optimiser,worker telemetry,Required,Implement evidence-based routing
ERR-034,Job Pipeline,"Job has no owner, dependency or success criteria",P0,PARTIAL,Contract validation fails,Job validator,Unstructured backlog item,Complete contract automatically where derivable; otherwise block,Route to planner/human,AUTO_WITH_GUARDRAIL,Job write authority,contract schema passes,job creation receipt,per job,Job Contract Worker,registries,Known systemic issue,Make invalid jobs non-runnable
ERR-035,Job Pipeline,Zombie/repeating low-value jobs consume resources,P1,ASPIRATIONAL,No value delta after retries,Loop suppressor,Missing stop/kill rules,"Terminate, quarantine and create learning record",Escalate if critical objective remains,AUTO_WITH_GUARDRAIL,Job termination authority,resource use stops; objective state recorded,termination receipt,continuous,Loop Suppression Worker,value telemetry,Required,Implement kill criteria
ERR-036,Human Authority,Destructive/legal/financial action runs without approval,P0,QUARANTINED,Policy violation,Authority gate,Missing HITL controls,Block before execution; request explicit approval,No execution,AUTO,Policy enforcement authority,attempt remains blocked,policy receipt,per action,Authority Gatekeeper,policy registry,Required,Implement authority matrix
ERR-037,Portfolio,"Domain/site is dead, DNS broken or SSL expired",P1,PARTIAL,Synthetic web check fails,Portfolio health worker,Expired DNS/cert/deployment,Renew certificate; repair DNS/deploy where authorised,Create owner job,AUTO_WITH_GUARDRAIL,DNS/deploy authority,HTTP/TLS/app probe,site recovery receipt,hourly,Portfolio Repair Worker,domain registry,Known broad requirement,Crawl full estate
ERR-038,Portfolio,"Project has no owner, roadmap, deployment or evidence",P1,PARTIAL,Registry completeness score low,Portfolio registry worker,Fragmented estate,Create recovery/merge/drop job,Quarantine or archive,AUTO_WITH_GUARDRAIL,Portfolio decision policy,decision evidence complete,portfolio decision receipt,weekly,Portfolio Decision Worker,repo/domain/project inventory,Known broad requirement,Build full portfolio inventory
ERR-039,Continuity,Organisation cannot be reconstructed after 90-day absence,P0,PARTIAL,Continuity drill fails,OIKOS continuity worker,"Missing graph, commitments, procedures","Generate snapshot, graph and recovery playbooks",Escalate missing authority/evidence,AUTO_WITH_GUARDRAIL,Sensitive context policy,reconstruction drill,continuity receipt,monthly drill,OIKOS Continuity Worker,thread/Drive/GitHub/runtime data,Known strategic blocker,Build continuity object model
ERR-040,Thread Ingestion,"Thread ends without tasks, commitments, evidence or closeout",P1,ASPIRATIONAL,No closeout receipt,Thread closeout worker,Conversation-only workflow,Extract and write canonical records; create remaining jobs,Archive with PARTIAL status,AUTO,Thread read and runtime write,records and receipt present,thread closeout receipt,per thread,Thread Ingestion Worker,"parser, GRK runtime",Required,Implement closeout engine
