Name,Category,Summary,Canonical Value,Status,Source / Notes,Use Next Time,Owner,Last Confirmed,Version,Tags,System / Surface,Lookup Key,Effort Level,Confidence,Stage,Usage Count,Last Used,Automation Eligible,Source Type
Knowledge stage model,Ops,Approved lifecycle and importance model for knowledge entries,DISCOVERED | VALIDATED | STANDARD | CRITICAL | DEPRECATED,Active,Used to classify certainty and operational importance,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,stage,governance",Knowledge System,knowledge_stage_model,Low,High,STANDARD,1,2026-04-07,Yes,Manual
Knowledge confidence model,Ops,Approved confidence model for knowledge entries,Low | Medium | High | Proven,Active,Used to express certainty before enforcement,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,confidence,governance",Knowledge System,knowledge_confidence_model,Low,High,STANDARD,1,2026-04-07,Yes,Manual
Primary Supabase project,Data,Canonical Supabase project ID for the main control plane,lzfgigiyqpuuxslsygjt,Active,UPDATED 2026-05-22: corrected project ID. pflisxkcxbzboxwidywf was wrong.,Yes,Troy / ChatGPT,2026-05-22,1.1,"supabase,project,control-plane",Supabase,primary_supabase_project_id,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Canonical standard knowledge schema,Data,Schema recommended for housing the unified standard knowledge system,ops,Active,Registry should live in ops as part of the control plane,Yes,Troy / ChatGPT,2026-04-07,1.0,"supabase,schema,ops",Supabase,standard_knowledge_schema_name,Low,High,STANDARD,1,2026-04-07,Yes,Conversation
Standard knowledge primary table,Data,Canonical table for machine-readable standard knowledge entries,ops.standard_knowledge_register,Active,Primary source-of-truth table for runtime resolution,Yes,Troy / ChatGPT,2026-04-07,1.0,"supabase,table,knowledge",Supabase,standard_knowledge_primary_table,Medium,High,CRITICAL,0,,Yes,Designed
Standard knowledge change log table,Data,Canonical audit/change log table for knowledge entry changes,ops.standard_knowledge_change_log,Active,Captures create/update/deprecate events,Yes,Troy / ChatGPT,2026-04-07,1.0,"supabase,table,audit,knowledge",Supabase,standard_knowledge_change_log_table,Medium,High,STANDARD,0,,Yes,Designed
Standard knowledge usage log table,Data,Canonical usage telemetry table for runtime resolutions,ops.standard_knowledge_usage_log,Active,Records where and when knowledge entries are consumed,Yes,Troy / ChatGPT,2026-04-07,1.0,"supabase,table,usage,knowledge",Supabase,standard_knowledge_usage_log_table,Medium,High,STANDARD,0,,Yes,Designed
Standard knowledge source map table,Data,"Canonical source-link table for human docs, sheets, connectors, and other origins",ops.standard_knowledge_source_map,Active,Maps knowledge entries to sheet/doc/file origins,Yes,Troy / ChatGPT,2026-04-07,1.0,"supabase,table,source-map",Supabase,standard_knowledge_source_map_table,Medium,High,STANDARD,0,,Yes,Designed
Standard knowledge active view,Data,Canonical active-entry view used by apps and agents,ops.v_standard_knowledge_active,Active,Returns non-deprecated active entries only,Yes,Troy / ChatGPT,2026-04-07,1.0,"supabase,view,knowledge",Supabase,standard_knowledge_active_view,Medium,High,STANDARD,0,,Yes,Designed
Canonical task queue table,Data,Current canonical task queue before closure-system cutover,public.t4h_task_queue,Active,Referenced as current canonical task list in recent task planning,Yes,Troy / ChatGPT,2026-04-07,1.0,"tasks,queue,canonical",Tasks,canonical_task_queue_table,Low,High,CRITICAL,1,2026-04-07,Yes,Conversation
Task run table,Data,Execution log table for task runs,public.t4h_task_run,Active,Used to wire task executions and outcomes,Yes,Troy / ChatGPT,2026-04-07,1.0,"tasks,run,execution",Tasks,task_run_table,Low,High,STANDARD,1,2026-04-07,Yes,Conversation
Task dependency table,Data,Dependency sequencing table for tasks,public.t4h_task_dependency,Active,Used to manage order and prerequisites,Yes,Troy / ChatGPT,2026-04-07,1.0,"tasks,dependency,workflow",Tasks,task_dependency_table,Low,High,STANDARD,1,2026-04-07,Yes,Conversation
Closure register table,Data,Canonical build closure register for end-state governance,ops.build_closure_register,Active,Target closure board table for system completion governance,Yes,Troy / ChatGPT,2026-04-07,1.0,"closure,governance,ops",Closure,build_closure_register_table,Low,High,CRITICAL,1,2026-04-07,Yes,Conversation
Closure jobs table,Data,Runtime table for closure execution attempts and validations,runtime.closure_jobs,Active,Tracks closure execution jobs and validation cycles,Yes,Troy / ChatGPT,2026-04-07,1.0,"closure,runtime,jobs",Closure,closure_jobs_table,Low,High,STANDARD,1,2026-04-07,Yes,Conversation
Reality ledger states,Ops,Approved truth-state classification model,REAL | PARTIAL | PRETEND | GATED | BLOCKED,Active,Used to bind evidence and classify operational truth,Yes,Troy / ChatGPT,2026-04-07,1.0,"reality-ledger,evidence,truth",Governance,reality_ledger_states,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Wave 10 default,Ops,Default automation maturity baseline for builds,Wave 10,Active,Wave 10 is the minimum required operational baseline unless explicitly downgraded,Yes,Troy / ChatGPT,2026-04-07,1.0,"wave10,automation,baseline",Governance,default_automation_wave,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Level 30 default,Ops,Default architecture maturity baseline for builds,Level 30,Active,Level 30 is the default target architecture maturity baseline,Yes,Troy / ChatGPT,2026-04-07,1.0,"level30,architecture,baseline",Governance,default_architecture_level,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Default execution shortcut,Ops,Standing shortcut meaning fully approved execution without clarification,/aaa,Active,All answers are approved by default; proceed without seeking confirmation,Yes,Troy / ChatGPT,2026-04-07,1.0,"execution,approval,shortcut",Governance,default_execution_shortcut,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Bridge-first publisher order,Ops,Preferred publish/deploy order for future work,GitHub -> Drive -> Notion -> Bridge Deploy Trigger -> Evidence Logger,Active,Saved as preferred default publisher/execution order,Yes,Troy / ChatGPT,2026-04-07,1.0,"publisher,deploy,order",Ops,preferred_publish_order,Low,High,STANDARD,1,2026-04-07,Yes,Conversation
Human knowledge surface,Knowledge,Role of the human-facing standard knowledge document,Control-plane handbook,Active,"Human-readable purpose, rules, and orientation layer",Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,doc,handbook",Knowledge System,human_knowledge_surface_role,Low,High,STANDARD,0,,Yes,Designed
Machine knowledge surface,Knowledge,Role of the structured standard knowledge register,Editable staging and bulk-load surface,Active,"Spreadsheet is for editing, review, and transport, not final runtime truth",Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,sheet,staging",Knowledge System,machine_knowledge_surface_role,Low,High,STANDARD,0,,Yes,Designed
Runtime knowledge source,Knowledge,Role of the Supabase-backed standard knowledge tables,Canonical runtime source of truth,Active,"Apps, bridge, and agents resolve stable values from Supabase registry",Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,supabase,runtime",Knowledge System,runtime_knowledge_source_role,Low,High,CRITICAL,0,,Yes,Designed
Knowledge uniqueness rule,Governance,Uniqueness rule for active standard knowledge values,One active entry per lookup_key + version,Active,Prevents conflicting active answers for the same standard,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,uniqueness,rule",Knowledge System,knowledge_uniqueness_rule,Low,High,CRITICAL,0,,Yes,Designed
Knowledge deprecation rule,Governance,Deprecation rule for standard knowledge entries,Deprecate explicitly; never silently delete,Active,Historical values remain visible and auditable,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,deprecation,rule",Knowledge System,knowledge_deprecation_rule,Low,High,STANDARD,0,,Yes,Designed
Knowledge sync key,Governance,"Canonical field used to interlock doc, sheet, and database entries",lookup_key,Active,"All surfaces sync by lookup_key, not row position",Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,sync,lookup-key",Knowledge System,knowledge_sync_key_field,Low,High,CRITICAL,0,,Yes,Designed
Knowledge source priority,Governance,Priority order for reading and writing standard knowledge,Supabase registry -> spreadsheet register -> handbook PDF/doc,Active,"Runtime truth first, staging second, handbook third",Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,source-priority",Knowledge System,knowledge_source_priority,Low,High,CRITICAL,0,,Yes,Designed
Legal collaboration schema,Data,Dedicated schema for the legal collaboration build inside the canonical Supabase project,legal_collab,Active,Approved fresh schema inside the existing Supabase project,Yes,Troy / ChatGPT,2026-04-07,1.0,"legal-collab,schema,supabase",Legal Collab,legal_collab_schema_name,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Legal collaboration auth model,Security,Approved authentication model for legal collaboration,Supabase Auth magic links,Active,Passwordless invited-user-only access with person-level identity,Yes,Troy / ChatGPT,2026-04-07,1.0,"legal-collab,auth,magic-link",Legal Collab,legal_collab_auth_model,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Legal collaboration Vercel team,Infra,Approved Vercel team for legal collaboration deployment,troys-projects-t4h-machine,Active,New isolated Vercel project should be created under this team,Yes,Troy / ChatGPT,2026-04-07,1.0,"legal-collab,vercel,team",Legal Collab,legal_collab_vercel_team,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Legal collaboration realtime mode,Infra,Approved live-update strategy for legal collaboration,Supabase Realtime primary with polling fallback,Active,Realtime by default; polling only for resilience fallback,Yes,Troy / ChatGPT,2026-04-07,1.0,"legal-collab,realtime,polling",Legal Collab,legal_collab_realtime_mode,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Legal collaboration attachment policy,Security,Approved file-access model for legal collaboration attachments,Private storage with signed URLs only,Active,Attachments remain private and permission checked before fetch,Yes,Troy / ChatGPT,2026-04-07,1.0,"legal-collab,attachments,signed-urls",Legal Collab,legal_collab_attachment_policy,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Legal collaboration role model,Security,Approved minimum roles for legal collaboration,owner | admin | member | external_counsel | read_only,Active,Per-channel roles and membership must be enforced,Yes,Troy / ChatGPT,2026-04-07,1.0,"legal-collab,roles,permissions",Legal Collab,legal_collab_role_model,Low,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Legal collaboration audit minimum,Security,Approved minimum audit scope for legal collaboration,login | invite created | invite accepted | invite revoked | membership changes | channel created | channel archived | message created | message edited | message deleted | attachment uploaded | attachment downloaded | attachment deleted | policy changes | failed access attempts,Active,Minimum audit coverage saved as build default,Yes,Troy / ChatGPT,2026-04-07,1.0,"legal-collab,audit,security",Legal Collab,legal_collab_audit_minimum,Medium,Proven,CRITICAL,1,2026-04-07,Yes,Conversation
Supabase auth model default,Security,Default auth model when person-level access control is needed,Supabase Auth magic links,Active,Preferred for invited-user-only applications requiring revocation and identity,Yes,Troy / ChatGPT,2026-04-07,1.0,"auth,supabase,magic-links",Security,default_auth_model_person_level,Low,High,STANDARD,0,,Yes,Designed
No client elevated keys rule,Security,Security rule for client applications,No elevated keys in client code,Active,Service-role credentials stay in trusted server contexts only,Yes,Troy / ChatGPT,2026-04-07,1.0,"security,keys,client",Security,no_client_elevated_keys_rule,Low,High,CRITICAL,0,,Yes,Designed
No public anon data rule,Security,Security rule for app data exposure,No public anonymous access to protected app data,Active,All application data must remain behind explicit access control and RLS,Yes,Troy / ChatGPT,2026-04-07,1.0,"security,anon,rls",Security,no_public_anon_data_rule,Low,High,CRITICAL,0,,Yes,Designed
Calendar integration target,Ops,Preferred scheduling/calendar integration target for tasks and bookings,Cal.com with calendar alignment,Active,Tasks are expected to consider matched calendar state,Yes,Troy / ChatGPT,2026-04-07,1.0,"calendar,cal.com,tasks",Ops,calendar_integration_target,Low,High,STANDARD,1,2026-04-07,Yes,Conversation
Command Centre widget table,Data,Canonical Supabase table for UI widget snippets,t4h_ui_snippet,Active,Canonical table for storing UI widget HTML/JS snippets,Yes,Troy / ChatGPT,2026-04-07,1.0,"widgets,ui,supabase",Command Centre,command_centre_widget_table,Low,Proven,STANDARD,1,2026-04-07,Yes,Conversation
Widget storage model,Ops,Approved widget storage and render model,Any LLM inserts HTML/JS snippet into Supabase; front end renders by slug,Active,Command Centre widget pattern for multi-LLM contribution,Yes,Troy / ChatGPT,2026-04-07,1.0,"widgets,llm,supabase",Command Centre,widget_storage_model,Medium,High,STANDARD,1,2026-04-07,Yes,Conversation
Control plane health response,Reference,Expected healthy bridge response pattern,status=healthy; services.mcp_bridge=lambda=supabase operational; region=ap-southeast-2,Active,High-level health shape used for bridge checks,Yes,Troy / ChatGPT,2026-04-07,1.0,"control-plane,health,bridge",Bridge,control_plane_health_response_shape,Low,High,STANDARD,1,2026-04-07,Yes,Conversation
Source type model,Governance,Approved source-type model for knowledge entries,Manual | Conversation | Document | Spreadsheet | Bridge | Runtime | Designed | Imported,Active,Used to describe where each knowledge entry originated,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,source-type,governance",Knowledge System,knowledge_source_type_model,Low,High,STANDARD,0,,Yes,Designed
Automation eligibility model,Governance,Approved automation-eligibility model for knowledge entries,Yes | No | Conditional,Active,Used to decide whether an entry can drive runtime resolution automatically,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,automation,governance",Knowledge System,knowledge_automation_eligibility_model,Low,High,STANDARD,0,,Yes,Designed
Effort level model,Governance,Approved effort model for maintaining or validating entries,Low | Medium | High,Active,Used for triage and maintenance planning,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,effort,governance",Knowledge System,knowledge_effort_level_model,Low,High,STANDARD,0,,Yes,Designed
Bootstrap sequence,Ops,Recommended first-time bootstrap order for the unified standard knowledge system,Create schema and tables -> load seed workbook/CSV -> normalize lookup keys -> deduplicate -> mark low-confidence rows non-enforced -> publish active view -> wire usage logging,Active,Approved bootstrap path for standing up the system,Yes,Troy / ChatGPT,2026-04-07,1.0,"bootstrap,sequence,knowledge",Knowledge System,knowledge_bootstrap_sequence,Medium,High,CRITICAL,0,,Yes,Designed
Seed import file pattern,Ops,Recommended seed-file pattern for machine loading,CSV export from register sheet with stable lookup_key values,Active,Supports repeatable import and diffing,Yes,Troy / ChatGPT,2026-04-07,1.0,"seed,csv,import",Knowledge System,knowledge_seed_import_file_pattern,Low,High,STANDARD,0,,Yes,Designed
Runtime resolution rule,Ops,Rule for when runtime systems should consult the knowledge register,Resolve stable values from registry before hardcoding,Active,"Bridge, apps, and agents should query registry where practical",Yes,Troy / ChatGPT,2026-04-07,1.0,"runtime,resolution,knowledge",Knowledge System,knowledge_runtime_resolution_rule,Low,High,CRITICAL,0,,Yes,Designed
Knowledge review cadence,Ops,Default review cadence for critical standard knowledge entries,Monthly review for CRITICAL entries; quarterly for STANDARD entries,Active,Keeps key values fresh without overloading maintenance,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,review,cadence",Knowledge System,knowledge_review_cadence,Low,Medium,STANDARD,0,,Yes,Designed
Bridge envelope format,Infra,Correct JSON envelope for bridge Lambda invocations,"{""fn"":""troy-sql-executor"",""sql"":""SELECT ...""}",Active,UPDATED 2026-05-22: NOT functionName/payload — wrong envelope returns FORBIDDEN,Yes,Troy,2026-05-22,1.1,"bridge,envelope,format",Bridge,bridge_envelope_format,Low,Proven,CRITICAL,1,2026-05-22,Yes,Runtime
Bridge API key value ref,Infra,Cap_secrets key name for the live bridge API key,"BRIDGE_API_KEY (read from cap_secrets table, not hardcoded)",Active,Key: bk_gfTUR... — read from cap_secrets.key=BRIDGE_API_KEY. Lambda env var must match.,Yes,Troy,2026-05-22,1.1,"bridge,auth,key",Bridge,bridge_api_key_ref,Low,Proven,CRITICAL,1,2026-05-22,Yes,Runtime
Bridge throttle fix command,Ops,AWS CLI command to fix recurring Lambda throttle when bridge returns UNAUTHORIZED,aws lambda put-function-concurrency --function-name troy-sql-executor --reserved-concurrent-executions 10 --region ap-southeast-2,Active,Run this when bridge returns UNAUTHORIZED or empty response. Also run for mcp-bridge-invoke-handler.,Yes,Troy,2026-05-22,1.0,"bridge,throttle,fix,concurrency",Bridge,bridge_throttle_fix_command,Low,Proven,CRITICAL,1,2026-05-22,No,Runtime
House rules table,Data,Supabase table for runtime house rules enforcement,public.house_rules,Active,Created 2026-05-22. 27 rules from HOUSE_RULES_ENGINE.pdf v1.3. 7 groups.,Yes,Troy,2026-05-22,1.0,"house-rules,governance,supabase",Supabase,house_rules_table,Low,Proven,CRITICAL,0,,Yes,Runtime
Bridge fallback — Supabase REST,Infra,Direct Supabase REST endpoint when bridge is down,https://lzfgigiyqpuuxslsygjt.supabase.co/rest/v1/{table},Active,Use service role key from cap_secrets key=SUPABASE_SERVICE_ROLE_KEY. Works when bridge throttled.,Yes,Troy,2026-05-22,1.0,"supabase,rest,fallback,bridge",Bridge,bridge_fallback_supabase_rest,Low,Proven,CRITICAL,0,,Yes,Runtime
RAR search view,Data,Full-text search view across 810 research asset slots,v_rar_search,Active,"FTS via search_vector (tsvector). Query: SELECT * FROM v_rar_search WHERE search_vector @@ to_tsquery('english','term').",Yes,Troy,2026-05-22,1.0,"rar,search,fts,view",Supabase,rar_search_view,Low,Proven,STANDARD,0,,Yes,Runtime
RAR ready to publish view,Data,View of GREEN RAR rows safe for public site release,v_rar_ready_to_publish,Active,"12 rows currently. Filters: status=GREEN, evidence_uri not legacy, area_code != A10.",Yes,Troy,2026-05-22,1.0,"rar,publish,view,green",Supabase,rar_ready_to_publish_view,Low,Proven,STANDARD,0,,Yes,Runtime
RAR IPF alerts view,Data,IP filing urgency dashboard — immediate/high priority GREEN rows,v_rar_ipf_alerts,Active,"8 rows: 4 immediate (A01 core assets), 4 high. Links to ip_filing_priority via ip_assets.",Yes,Troy,2026-05-22,1.0,"rar,ip,filing,alerts",Supabase,rar_ipf_alerts_view,Low,Proven,STANDARD,0,,Yes,Runtime
