Priority,Wave,Category,Brand / Surface,Canonical URL,GitHub Candidate(s),Lovable Candidate(s),Observed State,Known Dependencies,Migration Decision,Evidence Confidence,Reason / Next Gate,Audit Status,Chosen Source,S3/CloudFront Target,DNS Cutover Approved,Visual Approval,Receipt Status
15,W2,Governance / research,FAR-CAGE,https://far-cage.org,TML-4PM/far-cage,https://far-cage.lovable.app,Exact published match,Mostly architecture content; possible dashboards,STATICISE_PUBLIC_ARCHITECTURE,HIGH,Good early static candidate; preserve any internal dashboard separately.,NOT_STARTED,,,NO,NO,PARTIAL
16,W2,Neural platform,My Neural Signal,SOURCE_PENDING,TML-4PM/myneuralsignal; TML-4PM/myneruralsignal,SOURCE_PENDING,Correct and misspelled GitHub variants,Potential regulated BCI workflows,MERGE_VARIANTS_AND_REVIEW,MEDIUM,Resolve naming and separate research/marketing from regulated functionality.,NOT_STARTED,,,NO,NO,PARTIAL
17,W2,Governance / authority,GCBAT,https://gcbat.org,TML-4PM/gc-bat-core; TML-4PM/gcbat-vignettes-main,SOURCE_PENDING,Core and vignette variants found,Mostly content; possible interactive vignettes,MERGE_CANONICAL_PLUS_DEMOS,MEDIUM,Canonical authority site plus separately preserved vignette gallery.,NOT_STARTED,,,NO,NO,PARTIAL
18,W2,Neural platform,NEUROPAK,SOURCE_PENDING,TML-4PM/neuropak,SOURCE_PENDING,GitHub matched; additional variants named in source docs,Potential dashboard/data services,AUDIT_AND_DEDUPLICATE,MEDIUM,"Collect neuropak-com, command-centre and neurostack variants before selection.",NOT_STARTED,,,NO,NO,PARTIAL
19,W2,Physical autonomy,RATPAK,https://ratpak.com.au,TML-4PM/ratpak,SOURCE_PENDING,GitHub matched,Unknown,AUDIT_THEN_STATICISE,MEDIUM,Keep distinct from NEUROPAK; likely product/market surface first.,NOT_STARTED,,,NO,NO,PARTIAL
20,W2,Standards,MCP Native,https://mcp-native.com,TML-4PM/mcp-protocol-standard,https://mcp-native-protocols-and-standards.lovable.app,Published Lovable; GitHub naming differs,Specification content and community links,STATICISE_WITH_GITHUB_PROOF,HIGH,Excellent static candidate; source history and specification links are central.,NOT_STARTED,,,NO,NO,PARTIAL
21,W2,AI ownership,Own Your AI / Own My AI,https://ownyourai.org; https://ownmyai.org,TML-4PM/own-your-ai,https://own-your-ai.lovable.app,Exact source match but two canonical brands/domains,Potential licensing/takedown workflows,DEFINE_DOMAIN_STRATEGY_THEN_STATIC,HIGH,Choose relationship between Own Your AI and Own My AI; preserve service workflows.,NOT_STARTED,,,NO,NO,PARTIAL
22,W3,Research public,AI Sweet Spots,https://aisweetspots.com,TML-4PM/ai-sweet-spots-for-all,SOURCE_PENDING,GitHub matched,Research data / claim evidence,STATIC_RESEARCH_WITH_EVIDENCE_GATES,MEDIUM,Public research can be static but claims must retain SOURCE_PENDING/verified states.,NOT_STARTED,,,NO,NO,PARTIAL
23,W3,Research public,Resilience Atlas,SOURCE_PENDING,TML-4PM/atlas-aus-pulse; TML-4PM/drug-resilience-atlas,https://atlas-aus-pulse.lovable.app,Published Lovable and two GitHub candidates,Supabase data and semantic search,DYNAMIC_RETAIN_OR_STATIC_SNAPSHOT,HIGH,Known Supabase/search dependency; create static public snapshot without losing live data system.,NOT_STARTED,,,NO,NO,PARTIAL
24,W3,Research public,Social Media Ban 2.0 / SM Ban Watch,SOURCE_PENDING,TML-4PM/sm-ban-watch,https://sm-ban-watch.lovable.app,Exact published match,Countdown/content; likely static,STATICISE,HIGH,Strong recovery candidate; bundle with Beyond the Ban and family workbook later.,NOT_STARTED,,,NO,NO,PARTIAL
25,W3,Research internal,Neural Research Hub,SOURCE_PENDING,SOURCE_PENDING,https://the-neural-research-hub.lovable.app,Published Lovable; GitHub mapping unresolved,Unknown,SOURCE_DISCOVERY_AND_SNAPSHOT,MEDIUM,Compare with T4H Research Hub before creating another public hub.,NOT_STARTED,,,NO,NO,PARTIAL
26,W3,Research internal,Neural Market Intelligence,SOURCE_PENDING,SOURCE_PENDING,SOURCE_PENDING,Named in spine only,Data/search likely dynamic,SOURCE_DISCOVERY,LOW,Not a blind static move.,NOT_STARTED,,,NO,NO,PARTIAL
27,W4,Signal / fun,Apex Predator Insurance,https://apexpredatorinsurance.com,TML-4PM/apex-predator-insurance; TML-4PM/apex-predator,https://apex-predator-insurance.lovable.app,Published Lovable; two GitHub variants,"Checkout, certificate generation, uploads",STATIC_CATALOGUE_PLUS_DYNAMIC_SERVICES,HIGH,"Landing/catalogue static; payments, certificates and user gallery require retained services.",NOT_STARTED,,,NO,NO,PARTIAL
28,W4,Signal / fun,GirlMath,SOURCE_PENDING,TML-4PM/girlmath,SOURCE_PENDING,GitHub matched,Unknown,AUDIT_THEN_STATICISE,MEDIUM,Distribution brand; domain and current source unresolved.,NOT_STARTED,,,NO,NO,PARTIAL
29,W4,Signal / fun,Extreme Spotto,https://extremespotto.com,SOURCE_PENDING,SOURCE_PENDING,Canonical domain known; sources unresolved,Potential user submissions,SOURCE_DISCOVERY,LOW,Likely static shell plus submission service.,NOT_STARTED,,,NO,NO,PARTIAL
30,W4,Signal / fun,AI Oopsies,https://aioopsies.com,SOURCE_PENDING,SOURCE_PENDING,Canonical domain known; sources unresolved,Content feed,SOURCE_DISCOVERY,LOW,Recover content-first; defer feed automation.,NOT_STARTED,,,NO,NO,PARTIAL
31,W4,Signal / fun,Time to AI / Do-U-AI / AI SS2,SOURCE_PENDING,SOURCE_PENDING,SOURCE_PENDING,Campaign family only,Unknown,MERGE_OR_ARCHIVE_REVIEW,LOW,Do not create three standalone migrations until product roles are clear.,NOT_STARTED,,,NO,NO,PARTIAL
32,W4,Green tech,Global Tyre Locator,https://globaltyres.org,TML-4PM/global-tyres,SOURCE_PENDING,GitHub matched; DNS delegation issue previously noted,Search/catalogue data may be dynamic,STATIC_CATALOGUE_SNAPSHOT,MEDIUM,Publish a working catalogue snapshot before rebuilding search runtime.,NOT_STARTED,,,NO,NO,PARTIAL
33,W4,Green tech,Global Parts Locator,SOURCE_PENDING,TML-4PM/global-part-ownership,SOURCE_PENDING,Probable source match,Catalogue/search,AUDIT_THEN_SNAPSHOT,MEDIUM,Confirm relationship before branding.,NOT_STARTED,,,NO,NO,PARTIAL
34,W4,Medtech,All Chemist,https://all-chemist.org,SOURCE_PENDING,SOURCE_PENDING,Canonical domain known; source unresolved,Potential regulated data,SOURCE_DISCOVERY,LOW,Public information may be static; application functions require review.,NOT_STARTED,,,NO,NO,PARTIAL
35,W4,Urban tech,SmartPark,SOURCE_PENDING,TML-4PM/smartpark,SOURCE_PENDING,GitHub matched,Unknown,AUDIT_THEN_STATICISE,MEDIUM,Hold DNS until source quality is proven.,NOT_STARTED,,,NO,NO,PARTIAL
36,W4,Consumer / experimental,House of Biscuits,SOURCE_PENDING,TML-4PM/house-of-biscuits,SOURCE_PENDING,GitHub matched,Unknown,AUDIT_OR_ARCHIVE,LOW,Low priority unless strategic use is confirmed.,NOT_STARTED,,,NO,NO,PARTIAL
37,W5,Incubation,AI Olympics,https://aiolympics.net,TML-4PM/aiolympics; TML-4PM/ai-olympics,SOURCE_PENDING,Duplicate GitHub naming,Competition platform may be dynamic,MERGE_AND_DEFINE_MVP,MEDIUM,Static promotional site first; competition engine later.,NOT_STARTED,,,NO,NO,PARTIAL
38,W5,Incubation,GAIN Foundation,SOURCE_PENDING,TML-4PM/gain-foundation,SOURCE_PENDING,GitHub matched,Investment workflows may be regulated,STATIC_INFORMATION_ONLY_PENDING_REVIEW,MEDIUM,Do not publish transactional claims without review.,NOT_STARTED,,,NO,NO,PARTIAL
39,W5,Incubation,Valdeccho,SOURCE_PENDING,SOURCE_PENDING,SOURCE_PENDING,Named in spine only,Education / child data risk,SOURCE_DISCOVERY,LOW,Requires product and safeguarding review.,NOT_STARTED,,,NO,NO,PARTIAL
40,W5,Internal systems,MCP Command Centre / Tech4Humanity Hub,INTERNAL,TML-4PM/mcp-command-centre,https://tech4humanity-hub.lovable.app,Published Lovable and GitHub source,"Supabase, API bridge, search",DYNAMIC_RETAIN_RUNTIME,HIGH,Known dynamic internal control plane; do not flatten to static except disaster-recovery shell.,NOT_STARTED,,,NO,NO,PARTIAL
41,W5,Internal systems,T4H Agent Orchestrator,INTERNAL,TML-4PM/t4h-agent-orchestrator,https://t4h-agent-orchestrator.lovable.app,Exact published match,Orchestration/runtime integrations,DYNAMIC_RETAIN_RUNTIME,HIGH,Static documentation only; runtime stays elsewhere.,NOT_STARTED,,,NO,NO,PARTIAL
42,W5,Internal systems,Master Dashboard,INTERNAL,TML-4PM/master-dashboard,SOURCE_PENDING,GitHub matched,Dashboards/data,DYNAMIC_OR_STATIC_SNAPSHOT,MEDIUM,Snapshot can be migrated; operational dashboard needs live data.,NOT_STARTED,,,NO,NO,PARTIAL
43,W5,Internal systems,Neural Ennead Dashboard,INTERNAL,TML-4PM/neural-ennead-dashboard,SOURCE_PENDING,GitHub matched,Dashboard/data,DYNAMIC_OR_STATIC_SNAPSHOT,MEDIUM,Same rule as other dashboards.,NOT_STARTED,,,NO,NO,PARTIAL
44,W5,Internal systems,MAAT Money Console,INTERNAL,TML-4PM/maat-money-console,SOURCE_PENDING,GitHub matched,Finance/tax data,DYNAMIC_RETAIN_PRIVATE,HIGH,Never expose as public static site.,NOT_STARTED,,,NO,NO,PARTIAL
45,W5,Internal systems,Portfolio Site,INTERNAL / PUBLIC TBD,TML-4PM/portfolio-site,SOURCE_PENDING,GitHub matched,Unknown,AUDIT_ROLE_AND_CONTENT,MEDIUM,Could become public portfolio index after sensitive content is removed.,NOT_STARTED,,,NO,NO,PARTIAL
46,W5,Personal,Troy Latter Personal Site,SOURCE_PENDING,TML-4PM/troy-latter,SOURCE_PENDING,Large GitHub source found,Forms/content,CONSOLIDATE_PERSONAL_VARIANTS,MEDIUM,Merge troy-latter/troylatter-com/troy-latters into one authority funnel.,NOT_STARTED,,,NO,NO,PARTIAL
47,W5,Personal,Making You a Star,SOURCE_PENDING,TML-4PM/making-you-a-star,https://making-you-a-star.lovable.app,Exact published match,CSV upload and client-side tool,STATICISE,HIGH,Likely safe static candidate if all processing remains client-side.,NOT_STARTED,,,NO,NO,PARTIAL
48,W6,Hold / reuse,Vuon Troi,HOLD,TML-4PM/vuon-troi,SOURCE_PENDING,GitHub matched,Unknown,PRESERVE_AND_HOLD,HIGH,Do not promote; reuse marketplace structure later.,NOT_STARTED,,,NO,NO,PARTIAL
49,W6,Hold / reuse,APAC Just Walk Out,HOLD,TML-4PM/apac-just-walk-out,SOURCE_PENDING,GitHub matched,Unknown,PRESERVE_AND_HOLD,HIGH,Content preservation only.,NOT_STARTED,,,NO,NO,PARTIAL
50,W6,Hold / reuse,What Would You Automate,MERGE_SOURCE,TML-4PM/what-would-you-automate,SOURCE_PENDING,GitHub matched,Unknown,STRIP_AND_MERGE,HIGH,Reusable campaign material for core brands.,NOT_STARTED,,,NO,NO,PARTIAL
51,W6,Internal / archive,Project Explorer,INTERNAL,SOURCE_PENDING,Lovable project 20b985b0-c748-4684-a7ed-615e353cec3d,Unpublished Lovable inventory tool,Project inventory export,USE_AS_DISCOVERY_TOOL,HIGH,Potentially useful to complete Lovable inventory; do not treat as public site.,NOT_STARTED,,,NO,NO,PARTIAL
52,W6,Internal / experimental,XSES,SOURCE_PENDING,TML-4PM/xses,https://xses.lovable.app,Exact published match,"Supabase Edge Functions, Stripe, GPT chatbot",DYNAMIC_RETAIN_RUNTIME,HIGH,Known full-stack application; only marketing shell is staticisable.,NOT_STARTED,,,NO,NO,PARTIAL
